NAME,RANKED_IN,IS_RANKED,V_DISPLAY_SCORE,C_RNK_TOT_RETENTION,R_C_AVG_PCT_GRAD_6YR,PELL_GRADRATE,NONPELL_GRADRATE,DIFF_PELL_GRADRATE,R_C_AVG_PCT_RETENTION,PRED_GRAD_RATE,V_DIFF_GRAD_RATES,C_AVG_REPUTATION_SCORE_T,C_PCT_HS_COUNSELOR,FACULTY_RESOURCES_RANK,R_C_PCT_TOT_FAC_PT,V_FAC_TERMINAL,R_C_PCT_CLASSES_1_19,R_C_PCT_CLASSES_GT_50,V_STUDENT_FACULTY_RATIO,C_RNK_TOT_SELECT,R_C_SAT_ACT_PERCENT,R_C_HS_TOP_10_PCT_CLASS,R_C_HS_TOP_25_PCT_CLASS,C_RNK_LN_AVG_EDU_EXPENSES,C_RNK_ALUM_GIVING_RATE_2YR,R_C_ALUM_GIVING_RATE_2YR
university-of-la-verne-1216,National Universities,136,43,95,64,66,68,-2,85,53,14,2,3.1,102,70.1,76,68.5,0,12:01,219,1030-1195,20,49,109,195,5.1
fitchburg-state-2184,Regional Universities North,137,44,101,56,55,62,-8,77,53,7,2.4,,150,85.4,80,42.4,1,14:01,117,970-1140,,,161,169,2.8
kutztown-university-3322,Regional Universities North,137,44,135,54,44,58,-14,73,49,4,2.5,,158,95.3,86,24.2,8,18:01,99,970-1140,7,24,138,109,4.9
cuny-john-jay-2693,Regional Universities North,139,43,166,43,,,,78,40,3,3,,170,62.9,,28.3,1,18:01,149,920-1060,,,106,184,1.3
georgian-court-2608,Regional Universities North,139,43,151,48,38,62,-23,76,49,-1,2.1,,14,57,92,77.3,0,12:01,133,910-1120,7,28,75,88,6.5
kean-university-2622,Regional Universities North,139,43,127,49,46,51,-6,75,46,3,2.4,,67,47.6,81,37.1,0,17:01,162,880-1070,,,146,175,2.5
colorado-state-university-1350,National Universities,140,42,142,67,62,71,-9,86,63,6,3,3.7,242,89.4,89,26.5,24,16:01,155,22-28,20,47,181,96,10.7
hofstra-university-2732,National Universities,140,42,182,62,54,66,-12,81,67,-4,2.8,3.6,65,66.6,91,49.9,3,13:01,122,1130-1310,28,62,115,87,11.3
louisiana-state-university-baton-rouge-2010,National Universities,140,42,170,66,56,69,-14,84,69,-2,2.9,3.6,144,96.1,86,40.5,18,20:01,122,23-28,23,48,133,87,11.8
mercer-university-1580,National Universities,140,42,146,64,58,67,-9,85,66,-2,2.4,3.6,73,76.3,92,57.3,4,13:01,100,25-30,36,71,166,96,10.7
oregon-state-3210,National Universities,140,42,155,64,56,70,-14,84,60,5,3,3.6,211,87.4,86,29.1,20,18:01,155,1070-1300,26,58,123,117,9.4
suny-albany-2835,National Universities,140,42,117,66,68,64,4,83,57,8,2.8,3.6,211,80,95,33.1,16,19:01,230,1000-1190,16,48,142,154,6.7
washington-state-3800,National Universities,140,42,155,65,57,65,-8,80,59,3,3,3.6,192,89.4,88,35.2,20,15:01,190,1020-1220,38,61,128,75,12.4
central-college-1850,National Liberal Arts Colleges,141,49,150,67,,,,79,65,2,2.7,3.3,115,94.2,94,70.1,1,,120,21-26,23,52,126,178,11.4
randolph-college-3734,National Liberal Arts Colleges,141,49,175,57,56,60,-3,73,66,-7,2.6,3.2,30,98.6,94,85.6,0,9:01,182,950-1190,15,38,73,96,19.7
alma-college-2236,National Liberal Arts Colleges,143,48,150,65,55,73,-19,80,66,2,2.6,3.7,147,83.4,83,66.8,1,12:01,156,1030-1230,18,25,126,116,18
franklin-college-1798,National Liberal Arts Colleges,143,48,145,62,55,65,-10,77,55,7,2.6,3.4,142,82.4,87,69.2,0,11:01,168,1010-1200,18,48,186,105,19.3
houghton-college-2734,National Liberal Arts Colleges,143,48,118,73,,,,86,64,9,2.5,3.3,187,75,95,66.6,2,,114,1060-1320,26,54,166,142,15.5
illinois-college-1688,National Liberal Arts Colleges,143,48,121,69,51,66,-15,78,62,-2,2.6,3.2,142,93.4,85,67.9,1,12:01,168,19-25,14,41,126,88,21.1
morehouse-college-1582,National Liberal Arts Colleges,143,48,140,52,53,57,-4,82,55,0,3.3,3.9,216,91.4,85,52.7,0,12:01,198,950-1160,12,36,104,156,13.9
unc-asheville-2907,National Liberal Arts Colleges,143,48,121,62,63,61,1,77,61,1,3,3.8,172,87.1,88,49.9,1,13:01,130,22-27,15,44,220,212,7.2
warren-wilson-2979,National Liberal Arts Colleges,143,48,184,52,60,50,9,63,65,-12,2.6,3.5,57,86.8,96,89.9,0,9:01,87,25-29,15,39,85,156,13.9
wartburg-college-1896,National Liberal Arts Colleges,143,48,132,69,58,69,-11,78,65,1,2.7,3.5,182,81,90,52.1,1,11:01,120,21-27,27,53,149,88,20.8
wesleyan-college-1600,National Liberal Arts Colleges,143,48,178,55,43,68,-25,74,61,-5,2.7,3.7,87,84.9,80,84.7,0,7:01,164,1020-1190,28,58,137,61,25
adelphi-university-2666,National Universities,147,41,136,67,60,72,-12,83,61,7,2.3,3.1,58,58,87,48.3,2,12:01,235,1060-1240,26,58,152,117,9
kansas-state-university-1928,National Universities,147,41,182,62,49,67,-19,84,64,-1,3,3.6,164,95,85,47.1,12,18:01,155,22-28,25,51,142,35,19.4
the-new-school-20662,National Universities,147,41,149,66,66,68,-3,82,63,5,2.8,3.7,95,39.4,76,90.9,1,9:01,266,1100-1310,17,47,97,278,1.6
